dutch,english
aannemer,building contractor
aardwerker,potter
adel,nobility
adellijk,noble
aderlating,bloodletting
advocaat,lawyer
ambachtsman,artisan
ambt,office
ambt.,civil servant
ambtenaar,civil servant/official
apotheker,pharmacist
apothekersbediende,druggist clerk
arbeider,laborer
arbeidster,workwoman
baker,dry nurse
bakker,baker
baleinwerker,whalebone worker
barbier,barber
beddeschoonmaakster,chambermaid
bedelaar,beggar
bediende,servant
bedrijf,business
beeldhouwer,sculptor
begijn,beguine
begrafenis baas,undertaker
behoeftigden,indigent
bekende,acquaintance
beltwerker,dumpman
ber.,occupation/trade
beroep,occupation/trade
beul,executioner
bewaarder,warden
bierbrouwer,brewer
bijker,bee keeper
bijzit,mistress
binnenvaarder,canal boatman
bleeker,bleacher
blikslager,tinsmith
bloemist,florist
blokmaker,block-maker
boekbinder,book binder
boekdrukker,publisher
boekhouder,bookkeeper
boer,farmer
boerenarbeider,farmhand
boerenknecht,farm worker
borstelmaker,brush maker
bosbaas,forester
boswachter,forester
bouwkundige,architect
brandweerman,fireman
broodbakker,baker
brouwer,brewer
burgemeester,mayor
burger,citizen
buurman,neighbor 
chirurg,surgeon
chirurgijn,surgeon
civil ingenieur,civil engineer
correspondent,correspondence clerk
dagloner,day laborer
daglooner,day laborer
dekker,roofer
dienstbode,servant
dienstmeid,farm servant girl
dienstmeisje,servant girl
dienstsmeid,maid
dijkwerker,dyke worker
docent,teacher
dominee,minister
doodgraver,gravedigger
drukker,printer
edelman,nobleman
eigenaar,proprietor
eigengeërfde,freeholder
emigrant,emigrant
fabriek,factory/mill
florijn,guilder 
gaardenier,gardener
gareelmaker,harness maker
geestelijke,clergyman
gemeente ontvanger,municipal official
gemeenteraadslid,councilman/town councilor
geneesheer,physician
gepensioneerd,retired
geweermaker,gunsmith
gezworene,juryman/person under oath
gilde registers,guild records
glasblazer,glassblower
goudsmid,goldsmith
graaf,count/earl
grafdelver,gravedigger
graveur,engraver
grofsmid,blacksmith
grondeigenaren,property owners
groothandelaar,trader/merchant
gruttersknecht,grocer's hand
handel,trade/occupation
handwerksgezel,journeyman
heer,master/gentleman/Mr.
heerschappen,gentry/lords
heier,pile driver
herbergier,innkeeper
herder,shepherd
hertog,duke
hertogdom,duchy
hertogin,duchess
hoedenmaakster,hat maker
hoefsmid,blacksmith
hoer,harlot
hondenslager,dog killer
horlogemaker,watchmaker
houthakker,wood-cutter
houthandelaar,timber merchant
houtskool brander,charcoal burner
houtvester,forester
huisschilder,house painter
huisvrouw,wife
huurman,hired man
ijzergiester,foundry man
industrieel,industrialist
ing.,civil engineer
ingenieur,civil engineer
inlandsche,peddler
inwoner,inhabitant/citizen 
jager,hunter
juwelier,jeweler
kaarsenmaker,candle maker
kaarsmaker,candle-maker
kaasman,cheesemaker
kalkbrander,lime burner
kapelaan,curate
kapper,hairdresser
karman,coachman
karreman,cartman
kassier,cashier
kasteel,castle
kasteleijn,inn-keeper
katoenspinner,cotton spinner
kelner,waiter
kerk meester,church warden
kerk voogt,church warden
keukenmeid,kitchen maid
kledinghandelaar,clothier
kleedermaker,tablecloth maker
kleermaker,tailor
kleijmaker,claymaker
klerk,clerk
klompenmaker,wooden shoemaker
knecht,servant
koekbakker,confectioner
koetsier,coachman
kofferbeslager,luggage smith
koffiehuishouder,cafe proprieter
kok,cook
koning,king
koningin,queen
koopman,merchant
koopvaarder,merchantman
koperslager,coppersmith
korendrager,wheat carrier
koster,sexton
kramer,peddler
kroeghouder,bar keeper
kruier,porter
land verlatend,emigrant
landbouwer,farmer
landlieden,farmers
landman,cottager/farmer
lantaarnopsteker,streetlamp lighter
ldm.,churchmember
leemvormer,clay molder
leerjongen,apprentice
leerling,student/apprentice/pupil
leerlooier,tanner
leerlooijer,tanner
leraar,teacher
leurder,hawker
lidmaat,churchmember
liefdezuster,nun
lijn-draaier,rope-maker
lijnslager,rope maker
likeurstoker,distiller
linnenwever,linen weaver
lintwerker,linen weaver
lithograaf,lithographer
logementhouder,innkeeper
looier,tanner
machinist,engineer
makelaar,broker
mandenmaker,basket maker
mandenvlechter,basket weaver
marsdrager,peddler
marskramer,peddlar
mastmaker,mastmaker
matig,poor
matroos,sailor
medicus,physician
meier,tenant farmer/bailiff
meisje,maiden/girl
melkerij,dairy
melkfabriek,dairy
metselaar,mason/bricklayer
meubelmaker,furniture maker
mijnwerker,miner
militaire,military
minderjarig,minor
mineur,miner
modderman,dredger
modemaakster,milliner
modiste,milliner
molen,mill
molenaar,miller
molenmaker,windmill maker
naaister,seamstress
nabuur,neighbor
nachtwacht,night watch
natuurkundige,physicist
neger,Negro
onderwijzer,teacher
onderwijzeres,teacher 
ontvanger,tax collector
oppasser,caretaker
opziener,overseer
orgelmaker,organmaker
paarddriller,horse trainer
pachter,tenant farmer/leaser
pakkendrager,delivery man
papiermaker,paper-maker
parapluiemaker,umbrella maker
particulier,private person
pastor,priest
pastor,Catholic priest
patroon,employer
pettenmaker,cap maker
photograaf,photographer
plaatsbewaarster,seat caretaker
planter,planter
ploeger,plowman
politieagent,policeman
porter,citizen/freeman
postbode,mailman
pottenbakker,potter
pottenmakker,pot maker
predikant,minister
priester,Catholic priest
prins,prince
prinses,princess
professor,university professor
radelaar,wheelwright
radmaker,wheelwright
reitdekker,roofer/thatcher
rijtuig,harness maker
ronselaar,ship shanghai
scheepsbouwer,shipbuilder
scheepsmaker,ship builder
scheepstimmerman,ship's carpenter
schepen,alderman
schilder,painter
schoenmaker,shoemaker
schoolmeester,schoolmaster
schoorsteenveger,chimney sweeper
schriver,writer
secretaries,secretary
slager,butcher
smid,smith
steenbakker,brickmaker
steendelver,stonecutter
steenhouwer,stonemason
stoelenmaker,chair maker
straatmaker,street paver
strandjutter,beachcomber
stratenmaker,streetpaver
stukadoor,plasterer
suikerbakker,sugar-baker
tapper,tavern owner
tekenaar,designer
telegrafist,telegrapher
timmerlieden,carpenter
timmerman,carpenter
tinnegieter,tinsmith
tolgaarder,tolltaker
touwslager,rope maker
traankoker,whale-oil worker
turfsteker,peat cutter
uitdekker,roofer
uitdraagster,second-hand dealer
uitgever,publisher
uurwerkmaker,clockmaker
varensgezel,sailor
veearts,veterinarian
veehouder,cattle farmer
veloarbeider,field hand
venter,peddler
verfmaker,paintmaker
verloskundige,midwife
verpleegster,nurse
verwer,dyer
visscher,fisherman
voerman,coach driver
voller,fuller
vondeling,abandoned child
vrouw,woman/wife/female
waaiermaker,fan maker
waard,innkeeper
wagenmaker,wagon maker
washvrouw,washwoman
workman,workman
wielmaker,wheelwright
winkelier,shopkeeper
workman,laborer 
zeelieden,sailors
zeepzieder,soap maker
zeilmaker,sail-maker
zendeling,missionary
zijdewerker,silk worker
zilversmid,silversmith
zoutbereider,salt maker
zoutzieder,salt maker
zwager,brother-in-law
